ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"Planter des arbres aléatoires",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"Plante des arbres aléatoires selon un motif aléatoire.",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"Motif de coupe",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"Parcourir les motifs de sélection.",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"Portée de sélection",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"Basculer Manuel vs. Carte entière.",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"Niveau de sélection",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"Basculer sélection Simple vs. Multi-niveaux.",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"Type d'arbre",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"Basculer Tous les arbres vs. Arbres morts uniquement.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"Motif de plantation",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Cliquez pour passer au motif suivant.",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"Mode replantation",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"Basculer replanter sur objets existants vs. comportement de blocage d'origine.",
