ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"ランダムに木を植える",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"ランダムなパターンでランダムな木を植えます。",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"伐採パターン",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"選択パターンを切り替えます。",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"選択範囲",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"手動とマップ全体を切り替えます。",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"選択レベル",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"単一レベルと複数レベルの選択を切り替えます。",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"樹種",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"すべての木と枯れ木のみを切り替えます。",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"植栽パターン",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"クリックして次のパターンに切り替えます。",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"植え替えモード",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"既存のオブジェクトへの植え替えとバニラのブロック動作を切り替えます。",
