ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Description,무작위 패턴으로 무작위 나무를 심습니다.,
Calloatti.NaturalResourcesTweaks.ForestTool.Title,무작위 나무 심기,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,클릭하여 다음 패턴으로 전환합니다.,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,심기 패턴,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,기존 물체 위에 다시 심기 vs 바닐라 차단 동작 전환.,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,다시 심기 모드,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,단일 vs 다중 레벨 선택 전환.,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,선택 레벨,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,선택 패턴을 순환합니다.,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,벌목 패턴,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,수동 vs 전체 지도 전환.,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,선택 범위,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,모든 나무 vs 죽은 나무만 전환.,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,나무 종류,
