ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"Sadź losowe drzewa",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"Sadzi losowe drzewa w losowym wzorze.",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"Wzór cięcia",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"Cykluj wzory zaznaczenia.",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"Zakres zaznaczenia",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"Przełącz Ręczny vs. Cała mapa.",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"Poziom zaznaczenia",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"Przełącz Pojedynczy vs. Wielopoziomowy wybór.",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"Rodzaj drzewa",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"Przełącz Wszystkie drzewa vs. Tylko martwe drzewa.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"Wzór sadzenia",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Kliknij, aby przejść do następnego wzoru.",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"Tryb przesadzania",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"Przełącz przesadzanie na istniejących obiektach vs. domyślne blokowanie.",
