ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Description,Сажает случайные деревья в случайном порядке.,
Calloatti.NaturalResourcesTweaks.ForestTool.Title,Посадить случайные деревья,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Нажмите, чтобы переключиться на следующую схему.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,Схема посадки,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,Переключить пересадку поверх существующих объектов vs. стандартное блокирование.,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,Режим пересадки,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,Переключить одноуровневое vs. многоуровневое выделение.,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,Уровень выделения,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,Переключать схемы выделения.,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,Схема вырубки,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,Переключить Вручную vs. Вся карта.,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,Область выделения,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,Переключить Все деревья vs. Только мёртвые.,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,Тип дерева,
