ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Description,ปลูกต้นไม้แบบสุ่มในรูปแบบสุ่ม,
Calloatti.NaturalResourcesTweaks.ForestTool.Title,ปลูกต้นไม้แบบสุ่ม,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,คลิกเพื่อวนไปยังรูปแบบถัดไป,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,รูปแบบการปลูก,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,สลับระหว่างปลูกซ้ำบนวัตถุที่มีอยู่กับพฤติกรรมการบล็อกแบบเดิม,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,โหมดปลูกซ้ำ,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,สลับระหว่างการเลือกระดับเดียวกับหลายระดับ,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,ระดับการเลือก,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,วนรูปแบบการเลือก,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,รูปแบบการตัด,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,สลับระหว่างแบบ Manual กับทั้งแผนที่,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,ขอบเขตการเลือก,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,สลับระหว่างต้นไม้ทั้งหมดกับเฉพาะต้นไม้ที่ตายแล้ว,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,ประเภทต้นไม้,
