ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"Rastgele ağaç dik",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"Rastgele bir desende rastgele ağaçlar diker.",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"Kesim Deseni",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"Seçim desenleri arasında geçiş yap.",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"Seçim Kapsamı",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"Manuel vs. Tüm Harita arasında geçiş yap.",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"Seçim Seviyesi",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"Tek Seviye vs. Çoklu Seviye seçimi arasında geçiş yap.",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"Ağaç Türü",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"Tüm Ağaçlar vs. Yalnızca Ölü Ağaçlar arasında geçiş yap.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"Dikim Deseni",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Sonraki desene geçmek için tıklayın.",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"Yeniden Dikim Modu",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"Mevcut nesnelerin üzerine yeniden dikme vs. Orijinal engelleme davranışı arasında geçiş yap.",
