ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"Посадити випадкові дерева",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"Садить випадкові дерева у випадковому порядку.",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"Схема вирубки",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"Перемикати схеми вибору.",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"Область вибору",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"Перемкнути Вручну vs. Вся карта.",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"Рівень вибору",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"Перемкнути однорівневий vs. багаторівневий вибір.",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"Тип дерева",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"Перемкнути Всі дерева vs. Тільки мертві.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"Схема посадки",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Натисніть, щоб перемкнутися на наступну схему.",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"Режим пересадки",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"Перемкнути пересадку поверх існуючих об'єктів vs. стандартне блокування.",
