ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"种植随机树木",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"以随机模式种植随机树木。",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"砍伐模式",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"循环选择模式。",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"选择范围",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"切换手动模式与全地图模式。",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"选择层级",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"切换单层与多层选择。",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"树木类型",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"切换所有树木与仅枯树。",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"种植模式",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"点击切换到下一种模式。",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"补种模式",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"切换在现有物体上补种与原始阻挡行为。",
