ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Description,以隨機模式種植隨機樹木。,
Calloatti.NaturalResourcesTweaks.ForestTool.Title,種植隨機樹木,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,點擊切換到下一種模式。,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,種植模式,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,切換在現有物體上補種與原始阻擋行為。,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,補種模式,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,切換單層與多層選擇。,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,選擇層級,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,循環選擇模式。,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,砍伐模式,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,切換手動模式與全地圖模式。,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,選擇範圍,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,切換所有樹木與僅枯樹。,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,樹木類型,
