ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Description,Pflanzt zufällige Bäume in einem zufälligen Muster.,
Calloatti.NaturalResourcesTweaks.ForestTool.Title,Zufällige Bäume pflanzen,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Klicken, um zum nächsten Muster zu wechseln.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,Pflanzmuster,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,Nachpflanzen über vorhandenen Objekten vs. Vanilla-Blockierverhalten umschalten.,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,Nachpflanzmodus,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,Einzel- vs. Mehrebenen-Auswahl umschalten.,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,Auswahlebene,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,Auswahlmuster durchschalten.,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,Schnittmuster,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,Manuell vs. Gesamte Karte umschalten.,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,Auswahlbereich,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,Alle Bäume vs. Nur tote Bäume umschalten.,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,Baumart,
