ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Description,Pianta alberi casuali con uno schema casuale.,
Calloatti.NaturalResourcesTweaks.ForestTool.Title,Pianta alberi casuali,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,Clicca per passare allo schema successivo.,
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,Schema di piantumazione,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,Alterna reimpianto su oggetti esistenti vs. comportamento di blocco originale.,
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,Modalità reimpianto,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,Alterna selezione Singolo vs. Multi-livello.,
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,Livello di selezione,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,Scorri i modelli di selezione.,
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,Schema di taglio,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,Alterna Manuale vs. Mappa intera.,
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,Ambito di selezione,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,Alterna Tutti gli alberi vs. Solo alberi morti.,
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,Tipo di albero,
